,sig
SESSIONS_TO_COMPLETE> 2.5 <6.5,0.0196671652712
PRS_SCORE_10.0,0.0174452532667
IMPORT_TYPE_Partial,0.0173492321926
PRS_SCORE_-1,0.0172309092297
IMPORT_TYPE_Import,0.0171701341243
CARE_REFERRER_-1,0.0168502508568
REFUND_TRANSFER_FLAG,0.0166004253586
CARE_REFERRER_No Referrer,0.0165437138931
AGE_TAXPAYER>=31.5,0.0153720738993
AMOUNT_TOTAL_PAYMENTS> 755.5 <5516.5,0.0146913050692
AMOUNT_REFUND> 1058.5 <2606.5,0.0139673063942
NUM_EXEMPTIONS> 0.5 <2.5,0.0137431093231
RISK_FLAG_PY,0.0137219927072
PRS_SCORE_10.0_py,0.0127435043699
IMPORT_TYPE_Partial_py,0.0121677585948
AMOUNT_INCOME_TAX<=276.5,0.0121226749156
PRS_SCORE_-1_py,0.0120627585099
AGI> 2607.0 <60611.0,0.0120439415934
TOTAL_REVENUE_py> 4.994999885559082 <59.985000610351563,0.0120324579941
AMOUNT_INCOME_TAX> 276.5 <4312.0,0.0119304104745
NUM_W2_py> 0.5 <1.5,0.0119296988669
FED_FORM_TYPE_F1040,0.0117704521359
AMOUNT_REFUND<=0.5,0.0115628323051
NUM_W2_py>=1.5,0.0114542545791
NEAUTH_DEVICE_TYPE_Stationary,0.0113765593328
NEAUTH_DEVICE_TYPE_Phone,0.0113740696005
CARE_REFERRER_MyTurboTax,0.0113130406869
COST_PER_CUST<=4.7965002059936523,0.0112905781432
CUSTOMER_TYPE_Veteran Renewer,0.0112473668728
IMPORT_TYPE_Import_py,0.0112273182739
NUM_EXEMPTIONS<=0.5,0.0111339231114
REQUIRED_TAKE_FLAG,0.0110344557781
SESSIONS_TO_COMPLETE_py>=3.5,0.0109883841768
AMOUNT_REFUND>=2606.5,0.0107697046352
NUM_DEPENDENTS> 0.5 <1.5,0.0104623147034
START_DEVICE_TYPE_Stationary,0.00985910935475
TOTAL_REVENUE>=129.72500610351562,0.00985320985069
FIRST_HS_INTENT_contact,0.00983766059572
IMPORT_TYPE_-1_py,0.00981213974666
AMOUNT_STUDENT_LOAN_INTEREST_DEDUCTION<=3.5,0.00975733109979
COST_PER_CUST> 4.9006233215332031 <26.997135162353516,0.0096281990097
FIRST_COMPLETE_APP_TYPE_Stationary Web,0.00959573936864
AMOUNT_REFUND_py<=1265.5,0.00955210248347
FSCHA_FLAG,0.00949525887855
COMPLETED_SKU_200|Free TTO_py,0.00927841491155
NUM_EXEMPTIONS_py<=0.5,0.00923141087772
FED_FORM_TYPE_F1040A_py2,0.00894129840642
PRS_SCORE_9.0,0.00879897970555
AMOUNT_INCOME_TAX_WITHHELD_py> 317.5 < 2314.5,0.00877336265785
COMPLETED_SKU_600|Paid Deluxe_py2,0.00874227497078
COMPLETED_SKU_500|Paid Basic,0.00838411538823
AGI_py<=7537.0,0.00837278444269
AMOUNT_REFUND_py> 1265.5 <2658.5,0.00830672805898
SESSIONS_TO_COMPLETE>=6.5,0.00813875423593
REJECT_COUNT_0.0,0.00813087548038
AMOUNT_TOTAL_PAYMENTS_py<=2858.5,0.00802575038647
