,sig
REJECT_COUNT_2.0 REQUIRED_TAKE_FLAG STATE_ATTACH_COUNT<=0.5,1.34850632454
AMOUNT_INCOME_TAX_WITHHELD<=0.5 REQUIRED_TAKE_FLAG FILING_STATUS_HeadOfHousehold,1.10837343587
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 FIRST_COMPLETE_DEVICE_TYPE_Phone FILING_STATUS_Single,1.10767655843
AMOUNT_SALARIES_AND_WAGES> 7.5 < 2108.5 IMPORT_TYPE_Manual COST_PER_CUST>=12.475556373596191,1.06807428461
AMOUNT_INCOME_TAX_WITHHELD<=0.5 AMOUNT_TAX<=1.5 STATE_ATTACH_COUNT<=0.5,0.9823667994
PRS_SCORE_3.0 FIRST_COMPLETE_DEVICE_TYPE_Phone FILING_STATUS_Single,0.931998313064
REJECT_COUNT_2.0 AMOUNT_TAX<=1.5 STATE_ATTACH_COUNT<=0.5,0.893575684035
REJECT_COUNT_-1 IMPORT_TYPE_Manual COST_PER_CUST>=12.475556373596191,0.884389042184
REJECT_COUNT_1.0 DMA_AREA_-1 IMPORT_TYPE_Manual,0.860402060101
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 IMPORT_TYPE_Manual RISK_FLAG_PY,0.856496175064
AMOUNT_INCOME_TAX_WITHHELD<=0.5 COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 COST_PER_CUST>=12.475556373596191,0.819378901932
REJECT_COUNT_1.0 AMOUNT_SALARIES_AND_WAGES> 7.5 < 2108.5 FILING_STATUS_Single,0.816296856144
AMOUNT_SALARIES_AND_WAGES> 7.5 < 2108.5 DMA_AREA_-1 STATE_ATTACH_COUNT<=0.5,0.809548129196
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 RISK_FLAG_PY COST_PER_CUST>=12.475556373596191,0.807959928595
REJECT_COUNT_1.0 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow COST_PER_CUST>=12.475556373596191,0.805777160771
FILING_STATUS_MarriedFilingSeparately AMOUNT_SALARIES_AND_WAGES> 7.5 < 2108.5 STATE_ATTACH_COUNT<=0.5,0.805695172927
FIRST_COMPLETE_DEVICE_TYPE_Phone RISK_FLAG_PY COST_PER_CUST>=12.475556373596191,0.80548171158
REQUIRED_TAKE_FLAG FIRST_COMPLETE_DEVICE_TYPE_Phone IMPORT_TYPE_Manual,0.802986769446
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 IMPORT_TYPE_Manual FILING_STATUS_HeadOfHousehold,0.800701576892
REJECT_COUNT_1.0 AMOUNT_TAX<=1.5 CARE_REFERRER_Self-Referral from Community or Help Page,0.799611948203
FIRST_COMPLETE_DEVICE_TYPE_Phone AMOUNT_TAX<=1.5 IMPORT_TYPE_Manual,0.778888698683
REJECT_COUNT_1.0 AMOUNT_SALARIES_AND_WAGES> 7.5 < 2108.5 IMPORT_TYPE_Manual,0.766576797171
PRS_SCORE_1.0 REJECT_COUNT_1.0 FILING_STATUS_Single,0.762024648867
DMA_AREA_-1 STATE_ATTACH_COUNT<=0.5 FILING_STATUS_Single,0.755899451517
DMA_AREA_-1 FILING_STATUS_HeadOfHousehold RISK_FLAG_PY,0.748171401133
REJECT_COUNT_1.0 COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 DMA_AREA_-1,0.739690185724
FILING_STATUS_MarriedFilingSeparately STATE_ATTACH_COUNT<=0.5 RISK_FLAG_PY,0.734189640288
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow FILING_STATUS_Single,0.729666292917
REJECT_COUNT_1.0 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow FILING_STATUS_Single,0.72962777352
REQUIRED_TAKE_FLAG DMA_AREA_-1 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.728916430357
REQUIRED_TAKE_FLAG AMOUNT_TAX<=1.5 FILING_STATUS_Single,0.724745759327
AMOUNT_INCOME_TAX_WITHHELD<=0.5 RISK_FLAG_PY COST_PER_CUST>=12.475556373596191,0.710800800931
IMPORT_TYPE_Manual FILING_STATUS_Single COST_PER_CUST>=12.475556373596191,0.69653838782
REJECT_COUNT_-1^3,0.696484645796
REJECT_COUNT_-1,0.696484645796
REJECT_COUNT_-1^2,0.696484645796
REJECT_COUNT_-1 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow RISK_FLAG_PY,0.695872770037
REJECT_COUNT_2.0 IMPORT_TYPE_Manual FILING_STATUS_HeadOfHousehold,0.689685540023
REQUIRED_TAKE_FLAG FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow STATE_ATTACH_COUNT<=0.5,0.688246500454
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 AMOUNT_TAX<=1.5 STATE_ATTACH_COUNT<=0.5,0.684850302463
AMOUNT_TAX<=1.5 FILING_STATUS_HeadOfHousehold RISK_FLAG_PY,0.675855692857
FILING_STATUS_MarriedFilingSeparately FIRST_COMPLETE_DEVICE_TYPE_Phone AMOUNT_TAX<=1.5,0.67534959721
AMOUNT_INCOME_TAX_WITHHELD<=0.5 DMA_AREA_-1 RISK_FLAG_PY,0.666735675425
AMOUNT_INCOME_TAX_WITHHELD<=0.5 FIRST_COMPLETE_DEVICE_TYPE_Phone COST_PER_CUST>=12.475556373596191,0.666688302763
AMOUNT_INCOME_TAX_WITHHELD<=0.5 FIRST_COMPLETE_DEVICE_TYPE_Phone FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.660337923687
DMA_AREA_-1 IMPORT_TYPE_Manual STATE_ATTACH_COUNT<=0.5,0.642453862463
FILING_STATUS_MarriedFilingSeparately RISK_FLAG_PY COST_PER_CUST>=12.475556373596191,0.642168588359
FILING_STATUS_MarriedFilingSeparately COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 STATE_ATTACH_COUNT<=0.5,0.641695181253
REJECT_COUNT_1.0 AMOUNT_INCOME_TAX_WITHHELD<=0.5 FIRST_COMPLETE_DEVICE_TYPE_Phone,0.639625113746
AMOUNT_SALARIES_AND_WAGES> 7.5 < 2108.5 REQUIRED_TAKE_FLAG RISK_FLAG_PY,0.639498841045
AMOUNT_TAX<=1.5 FILING_STATUS_Single RISK_FLAG_PY,0.633833045356
FIRST_COMPLETE_DEVICE_TYPE_Phone REJECT_COUNT_3.0 FILING_STATUS_HeadOfHousehold,0.631648997251
REJECT_COUNT_-1 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow STATE_ATTACH_COUNT<=0.5,0.630542102313
REJECT_COUNT_-1 REQUIRED_TAKE_FLAG COST_PER_CUST>=12.475556373596191,0.62668814092
FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow IMPORT_TYPE_Manual FILING_STATUS_Single,0.62288584957
REQUIRED_TAKE_FLAG FIRST_COMPLETE_DEVICE_TYPE_Phone RISK_FLAG_PY,0.619466052796
REJECT_COUNT_1.0 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow IMPORT_TYPE_Manual,0.608945842865
REQUIRED_TAKE_FLAG FIRST_COMPLETE_DEVICE_TYPE_Phone CARE_REFERRER_Self-Referral from Community or Help Page,0.600576549926
REJECT_COUNT_2.0 REQUIRED_TAKE_FLAG DMA_AREA_-1,0.600507913541
REJECT_COUNT_2.0 AMOUNT_TAX<=1.5 RISK_FLAG_PY,0.589754013631
PRS_SCORE_3.0 FILING_STATUS_HeadOfHousehold RISK_FLAG_PY,0.581643129613
FIRST_COMPLETE_DEVICE_TYPE_Phone DMA_AREA_-1 COST_PER_CUST>=12.475556373596191,0.577432690358
FIRST_COMPLETE_DEVICE_TYPE_Phone AMOUNT_TAX<=1.5 FILING_STATUS_Single,0.576603613835
FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow FILING_STATUS_HeadOfHousehold COST_PER_CUST>=12.475556373596191,0.576062008871
DMA_AREA_-1 IMPORT_TYPE_Manual FILING_STATUS_Single,0.572223058308
REJECT_COUNT_3.0 IMPORT_TYPE_Manual STATE_ATTACH_COUNT<=0.5,0.566054300227
STATE_ATTACH_COUNT<=0.5 FILING_STATUS_Single CARE_REFERRER_Self-Referral from Community or Help Page,0.565538011301
REJECT_COUNT_2.0 REQUIRED_TAKE_FLAG FIRST_COMPLETE_DEVICE_TYPE_Phone,0.564458838088
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 AMOUNT_TAX<=1.5 IMPORT_TYPE_Manual,0.558851305941
REQUIRED_TAKE_FLAG REJECT_COUNT_3.0 FILING_STATUS_HeadOfHousehold,0.558779004947
AMOUNT_SALARIES_AND_WAGES> 7.5 < 2108.5 FIRST_COMPLETE_DEVICE_TYPE_Phone FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow,0.552973952172
AMOUNT_INCOME_TAX_WITHHELD<=0.5 AMOUNT_SALARIES_AND_WAGES> 7.5 < 2108.5 FILING_STATUS_HeadOfHousehold,0.550461386129
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 FIRST_COMPLETE_DEVICE_TYPE_Phone STATE_ATTACH_COUNT<=0.5,0.550334579294
REQUIRED_TAKE_FLAG DMA_AREA_-1 FILING_STATUS_Single,0.540019663977
REJECT_COUNT_-1 COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 REQUIRED_TAKE_FLAG,0.538977720658
REQUIRED_TAKE_FLAG FILING_STATUS_HeadOfHousehold CARE_REFERRER_Self-Referral from Community or Help Page,0.533280247265
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 DMA_AREA_-1 FILING_STATUS_Single,0.53220817921
REJECT_COUNT_1.0 AMOUNT_INCOME_TAX_WITHHELD<=0.5 FILING_STATUS_Single,0.525103254169
COST_PER_CUST_LAG7> 0.0065507246181368828 <2.7704501152038574 REQUIRED_TAKE_FLAG RISK_FLAG_PY,0.521360626489
REQUIRED_TAKE_FLAG IMPORT_TYPE_Manual COST_PER_CUST>=12.475556373596191,0.52077479506
REJECT_COUNT_2.0 FIRST_SEARCH_MANUAL_LOCATION_DETAIL_Help System_TT.com Support_CU Flow STATE_ATTACH_COUNT<=0.5,0.519229570561
REJECT_COUNT_1.0 AMOUNT_TAX<=1.5 RISK_FLAG_PY,0.519176316834
AMOUNT_INCOME_TAX_WITHHELD<=0.5 REJECT_COUNT_3.0 FILING_STATUS_HeadOfHousehold,0.515550742041
